"","time","fingerprint","age","race","gender"
"180",1658328352.00133,"67b04cc046ac53a9a3718cc3779f8c03",NA,"White","Female"
"181",1658328389.85061,"a7b17446f9a8757e2495f22badf1ad04",54,"White","Female"
"182",1658328474.35531,"4573c6dd3617edbb2d408cff8bbc49cd",63,"White","Male"
"183",1658328533.2502,"6ca8b7bfa6d8d3bfcdf4fc5f8b2f0e7c",31,"White","Female"
"184",1658328560.12934,"a4fa001e60adb471b0d09aa10ea1ff33",NA,"White","Male"
"185",1658328580.79778,"75c7fc5ca00203ff593c0f3c6c9aa028",39,"White","Female"
"186",1658328917.92399,"5d3c76c950ab4ccc582692127c7b95be",NA,"White","Female"
"187",1658329062.37738,"fbe1b4559c63d1d9f4683a08172d08f2",56,"White","Female"
"188",1658329202.46242,"987bb63018a9038c7baa0636d0ce14b9",NA,"White","Male"
"189",1658330273.55984,"6831cd2c76e82038a34155d775852e96",24,"White","Male"
"190",1658330628.99144,"a68cf1a284189a8c0379ab9062a3ac6c",75,"White","Female"
"191",1658330738.50178,"b367b9d2a3ab78b8e2afdc15ce6dddc7",31,"White","Male"
"192",1658330893.83191,"adefa5970fd29c3b906ac29c4e9abf10",29,"Asian","Female"
"193",1658330955.07023,"06c88a632ab10127f24789505dcb7865",58,"Hispanic","Male"
"194",1658331013.83032,"9933873c12e16fc900f5727ae2802638",NA,"White","Female"
"195",1658331436.07687,"75e1e9124683c2ac7f881b19ded83be5",78,"White","Male"
"196",1658331593.21885,"b604fa81c1def9e042dc061c204e5a0b",32,"Black or African American","Male"
"197",1658331687.68881,"5939d0880616bda5786d9cb71eb57f79",40,"White","Female"
"198",1658331902.87969,"66dbbd5c6aa0f96c2bcbb901e4bf536f",28,"White","Male"
"199",1658331954.32688,"8ba97554365c92c43f13bcc50ef6ba8a",38,"White","Male"
"200",1658332033.9616,"b672aaab9a36c8e923ddb8206d2650d7",22,"White, Asian","Male"
"201",1658332096.70494,"4bf462cf0df3e6d8acb6f512ab4ef97f",64,"White","Female"
"202",1658332104.50277,"8813cb70907162059a674e196567f9bb",33,"White","Male"
"203",1658332127.86524,"28219119841ca168e0e1b127034dff96",26,"White","Female"
"204",1658332132.0289,"0d210f7ba2c885d36f94a63092078837",58,"Asian","Male"
"205",1658332964.59893,"b1ca88c3c5a7d5f2a27a5a65bd3f1970",58,"White","Male"
"206",1658333156.69041,"b4ac310b83f8b41e3c7b89fad03b3a91",50,"White","Female"
"207",1658333183.75679,"65ba697c17bc9fb0535956b5ee76b12e",NA,"White","Female"
"209",1658333186.28272,"713ab57a1d4a285e8d94852c214eb5c8",26,"Asian","Female"
"210",1658333191.1052,"dfb7e263a1f879fd70db4855eb08b440",69,"White","Male"
"211",1658333331.41518,"642d497661c84dac328438a2bf0709e4",37,"White","Female"
"213",1658333361.07647,"9fdb4606e9836956dca30114ef3e646f",28,"White","Female"
"214",1658333375.52429,"f7cffd28a71399710dda7b4e77937be2",33,"White","Female"
"215",1658333443.15969,"fd4e13d85b0647c8bf52a5c586d01154",27,"White","Male"
"216",1658334324.3518,"c89c26a2a207e5bd31823ddaa8c14cae",NA,"White","Female"
"217",1658334367.31085,"61b10d96866dfbd361c4fda4635097e8",32,"Hispanic","Male"
"218",1658334395.01864,"76a7897bf371dff1db8b56e496b26644",50,"White","Female"
"219",1658334401.1055,"18437cb315aa8b7efe8d32970680f5ea",28,"Asian","Female"
"220",1658334416.06583,"749b82dc03550e56434120ac35c7961f",26,"White","Female"
"221",1658334469.68471,"642d497661c84dac328438a2bf0709e4",37,"White","Female"
"223",1658334499.78171,"42a472eaad328b4c926ca01bd0fcdeb2",31,"White","Female"
"224",1658334589.90923,"9ba314fb4f9096dcbe36655593d2d103",66,"White","Male"
"225",1658334631.10511,"a694daec8db38c9e89fa1ca6e3ee2fb4",30,"White","Female"
"226",1658334662.67257,"ae8c5e1ee8007c385710ff3e6be70e8d",39,"White","Male"
"228",1658334809.28143,"a0e0d37341b45ac88269c2006ee170d6",21,"White","Female"
"229",1658335926.77229,"669f58b1da5697a655b60a7561168664",18,"White","Female"
"230",1658336092.13099,"05a9627a283c6117f75f17ad56b8c419",27,"White","Female"
"231",1658336242.70803,"021107192751c2317814f961002f8ec0",32,"White","Male"
"232",1658336290.43709,"e063ebe4adbf7fdc0830f617ccdafb04",22,"Black or African American","Female"
"233",1658336299.22994,"dfe0d8a95366abee4f42873ccf9dee13",58,"White","Female"
"234",1658336303.36872,"9a8d404004cc2e3e96e177e93965fb43",60,"White","Female"
"235",1658336361.42163,"a25fb93bc85790842fbbc20fb33f439c",20,"White, Black or African American, Hispanic","Female"
"236",1658336365.4493,"a7fe769eeea9144752c62c43ff9100f1",28,"White","Female"
"237",1658336411.88169,"75239f1d55a2a66ab61b7923decacbb3",24,"White","Female"
"238",1658336437.22875,"d7159992a2f46a950ba3cc630661b1d8",74,"White","Female"
"239",1658336760.23332,"2b4fde7ba9a697f9ef9c27009e5257f2",30,"White","Male"
"240",1658337476.02294,"93e29f7d3abd48d92a13c8510b61a988",25,"Black or African American","Male"
"241",1658337544.03536,"7387663eca6ba5161d1c58711dd65164",34,"White","Female"
"242",1658337616.62805,"f74b0ddc0ceb951c0493b477c18372f1",21,"White","Female"
"244",1658337688.12508,"8cd69828db08d60ae17d9887106a7552",27,"White","Male"
"245",1658337906.80715,"9a0790bce63401a11740661b2dd6d03b",41,"White","Female"
"246",1658337913.76831,"47b5f3fc179c41d9847e3bf649af507c",23,"White","Male"
"247",1658338337.99717,"bfd88885871caf0d4538b21e5ee4bb62",44,"White","Male"
"248",1658338458.92072,"fd0f0993dd270b06239e68968341b26e",26,"White","Female"
"249",1658338511.61913,"d73f8ad4066476f0a62ad618dbb5fa46",19,"White, Asian","Male"
"250",1658338512.23377,"9dac03973782e42d98eb8caccad097f6",52,"White","Male"
"252",1658338740.57231,"884b10b7f29d1a66036aeda44bc65cad",35,"White, Black or African American, Hispanic","Other/non-binary"
"253",1658338766.70316,"65ba697c17bc9fb0535956b5ee76b12e",NA,"White","Female"
"255",1658338798.06105,"8cd69828db08d60ae17d9887106a7552",26,"White, Hispanic","Female"
"256",1658339842.84607,"8d5ac700e4a8858158154d570295eb34",28,"White","Female"
"258",1658340149.78033,"3ea2c991d04f65bf3cc4685117b5f640",34,"White","Female"
"259",1658340252.95493,"09a8011a910cb7278e531b4b7ac28ab8",36,"Asian","Male"
"260",1658340312.18115,"d1c89dae82b5e0e0f11c7d9929e6dffe",60,"White, American Indian or Alaska Native, Hispanic","Male"
"261",1658340326.02803,"f74b0ddc0ceb951c0493b477c18372f1",21,"White","Female"
"263",1658340449.44914,"7b855079a65bb867b67fb837566c689e",35,"White","Male"
"264",1658340520.59467,"258a2a272296db9937cdddccf546a96d",45,"White","Female"
"265",1658340593.7309,"84491f5bc0189087d8ff0b08f0fe004d",26,"White","Male"
"266",1658340596.04848,"a81f0e6a1fefc4c528a3119ff4b7b09f",21,"White","Female"
"267",1658340736.98121,"e55940381f5ed020ed477ca19dd64011",33,"White","Female"
"268",1658340808.7758,"71ba873545ab1fea80d8f341a25ff11a",26,"White","Male"
"269",1658340849.71857,"a31f74ef9d47e351414aa3f940817a9c",28,"White","Female"
"270",1658340855.25188,"468353e7f040b50d37ba7d5f9f5a0c37",31,"Asian","Female"
"271",1658340973.44882,"542d4e07d66965a10f4030f40bc994f7",62,"White","Female"
"272",1658341227.75333,"9dbb86cd97930b49653aca1bd3043766",63,"White","Female"
"274",1658341596.92893,"8b7f56867c805d6dc3eb08c092cb6196",34,"White","Male"
"275",1658341779.92672,"8e0b273fb8a4b5ce84840a363913fb65",39,"White","Female"
"276",1658341953.63573,"a756b1aac5822924e7c48ac9f8398d5e",53,"White","Female"
"277",1658341976.29204,"3139a9029fa35b9761625736885772bd",52,"White","Male"
"278",1658341991.27277,"020f5552b80dd6b3544c1b250370d8eb",NA,"White","Male"
"279",1658342041.4976,"77a38c717f9123822c891be4d9fdc9bc",63,"White","Male"
"280",1658342061.73756,"ac460854c3914feb2de60ad6f85a150e",32,"White","Male"
"281",1658342621.73194,"9dbb86cd97930b49653aca1bd3043766",63,"White","Female"
"283",1658342674.61012,"9dbb86cd97930b49653aca1bd3043766",63,"White","Female"
"285",1658343353.38047,"57ea908dc84096f54efcde417a295b2e",24,"White","Male"
"286",1658343550.77347,"0ca328e56e1d6f48e25b1b9860607b8c",NA,"White","Male"
"287",1658343619.46669,"ad41fd836b709bd7ce1bd4f4f45d43e6",24,"Black or African American","Female"
"288",1658343652.10212,"bb8ac367fbb10d8e16a95704c2086176",27,"White","Male"
"289",1658343739.1481,"6dfeac78e2fa2034207eb040feb6e5e2",47,"White","Female"
"290",1658343771.53394,"6c639eb3e6b96c220b6d12e32f366525",24,"White","Male"
